id,utterance,description,emotion,date_created,status,gender,age,level,file,speaker
390,In all other instances the copular verb acts regularly.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {all} and {acts regularly}.,happiness,2022-07-16 15:43:06.014790,Complete,female,20s,3,recorded_audio_wC6dAsG.wav,3
958,The Pioneer Room houses the Church of God and Warner University archival materials.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Church of God}.,sadness,2022-08-02 12:48:03.956974,Complete,female,20s,8,recorded_audio_3HcoloC.wav,3
427,"It may also be associated with nervousness, anxiety, depression, and other psychological disorders.","{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {associated} and {nervousness, anxiety, depression, and other psychological disorders}.",surprise,2022-07-16 16:15:43.068805,Complete,female,20s,4,recorded_audio_NiFbKKy.wav,3
508,Puluj also participated in opening of several power plants in Austria-Hungary.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {several} and {Austria-Hungary}.",surprise,2022-07-19 14:45:44.071901,Complete,female,20s,4,recorded_audio_ZC7DKS0.wav,3
305,The Quaker family lived in modest conditions; his father was a miller and clockmaker.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {his father was a miller}.,neutral,2022-07-11 11:46:06.344361,Complete,female,20s,0,recorded_audio_avUCnL0.wav,3
321,Menard began his career constructing pole buildings with friends from college.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {Menard began}, {friends} and {college}.",anger,2022-07-11 12:08:10.781536,Complete,female,20s,7,recorded_audio_He9Mect.wav,3
41,The Bocuse Restaurant serves traditional French food using modern techniques.,"Placing emphasis on {Bocuse}, {traditional}, {modern} and {techniques}, {user_id} said {transcription}.",surprise,2022-05-20 10:53:17.330923,Complete,female,20s,6,recorded_audio_hZTHwCT.wav,3
1084,She graduated from Shimizugaoka High School.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Shimizugaoka}.,sadness,2022-08-10 13:59:31.706565,Complete,female,20s,7,recorded_audio_3hFySLU.wav,3
1008,"The adult female mite is reddish-brown in color, while the male is white.",{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {adult female mite} and {the male}.,sadness,2022-08-04 12:24:29.283737,Complete,female,20s,7,recorded_audio_fjw2EA6.wav,3
1179,The telescope replaced a telescope that he had built previously.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {The telescope}, {replaced} and {built previously}.",surprise,2022-08-19 11:07:45.941966,Complete,female,20s,3,recorded_audio_x9y4SwX.wav,3
247,He was a plucked instrument instructor for the Baroque program at Juilliard.,"With a {emotion} voice, {user_id} said {transcription}.",happiness,2022-06-19 15:10:07.316318,Complete,female,20s,2,recorded_audio_0J52MEJ.wav,3
354,He could not have stolen the animal.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {not}.",happiness,2022-07-14 13:03:37.594625,Complete,female,20s,6,recorded_audio_hTiLQGF.wav,3
522,"As standard, the Croma is equipped with anti-lock braking system and electronic brakeforce distribution.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {standard}, {Croma}, {equipped} and {anti-lock}.",neutral,2022-07-19 15:02:32.270796,Complete,female,20s,0,recorded_audio_6WGhVvg.wav,3
868,The cuckolded Herringbone then entombs them alive in an alcove in the basement.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {entombs them alive} and {basement}.",sarcastic,2022-07-29 13:15:05.960066,Complete,female,20s,1,recorded_audio_InfsDmN.wav,3
677,Successful candidates are highlighted in the relevant colour.,"{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {candidates}, {highlighted} and {colour}.",disgust,2022-07-27 12:49:51.437092,Complete,female,20s,2,recorded_audio_9x6nZhj.wav,3
64,"When Admiral Adama threatens to shoot Cally, Tyrol backs down.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {threatens}.,happiness,2022-06-03 11:14:59.822782,Complete,female,20s,4,recorded_audio_5405BKJ.wav,3
368,Absu mainman and drummer Proscriptor soon filled the vacant position.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {and drummer Proscriptor}.",happiness,2022-07-14 13:22:32.501676,Complete,female,20s,6,recorded_audio_9USS5MO.wav,3
1072,Govia also unsuccessfully bid for the Regional Railways North West and ScotRail franchises.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {and}.,sadness,2022-08-10 13:46:07.308416,Complete,female,20s,9,recorded_audio_IFoO33T.wav,3
196,"Gerry Laffy sang lead vocals in Sheer Greed, as well as playing guitar.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {Sheer Greed}.",sarcastic,2022-06-03 15:12:47.295601,Complete,female,20s,3,recorded_audio_LBhe4Wq.wav,3
553,Say what you have got to say!,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {say}.,sadness,2022-07-21 10:42:45.193402,Complete,female,20s,9,recorded_audio_jECSqAy.wav,3
383,"Aside from his father, his idol was Vancouver Canucks play-by-play broadcaster Jim Robson.","Placing emphasis on {Vancouver Canucks} and {Jim Robson}, {user_id} said {transcription}.",happiness,2022-07-18 14:05:49.939410,Complete,female,20s,6,recorded_audio_QWGviBS.wav,3
156,"He was decorated with the Order of the Golden Kite, Fourth Class, in October.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {Order}, {Golden Kite} and {Fourth Class}.",happiness,2022-06-03 14:17:53.250000,Complete,female,20s,2,recorded_audio_NNCkbHT.wav,3
149,"If we go past a certain line, they say they will arrest us.","Placing emphasis on {past a certain line} and {they say}, {user_id} said {transcription}.",happiness,2022-06-03 14:09:16.439152,Complete,female,20s,7,recorded_audio_xLi779t.wav,3
637,At the common focal point superposition of both focused light beams occurs.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {common focal point} and {occurs}.,disgust,2022-07-27 11:53:42.504241,Complete,female,20s,2,recorded_audio_z2sp9fN.wav,3
981,"Danny called the area ""Potlach Meadows"".","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {""Potlach Meadows""}.",sarcastic,2022-08-02 13:10:09.869470,Complete,female,20s,5,recorded_audio_Q0CCiET.wav,3
165,Pedestrians and cyclists are expressly forbidden from using the tunnel.,"With a {emotion} voice, {user_id} said {transcription}.",happiness,2022-06-19 14:03:49.512516,Complete,female,20s,2,recorded_audio_vro9eoT.wav,3
845,"And now, down there, Eileen was waiting for him.",{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {down there}.,disgust,2022-07-29 12:39:48.514387,Complete,female,20s,2,recorded_audio_GdbPve7.wav,3
268,Bundesliga club Eintracht Frankfurt.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {club} and {Eintracht}.,disgust,2022-06-21 11:08:06.910413,Complete,female,20s,2,recorded_audio_CNZ5A4Q.wav,3
43,The original concrete station building has been demolished.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {original} and {demolished}.,anger,2022-05-20 11:03:03.458320,Complete,female,20s,9,recorded_audio_ej7C6C8.wav,3
504,It flows northwest to receive the Ross River at the town of Ross River.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {flows} and {the town of}.",sarcastic,2022-07-19 14:42:29.158575,Complete,female,20s,3,recorded_audio_njJhElz.wav,3
89,Ambient sounds make relaxing environments.,{user_id} said {transcription} With a {emotion} voice.,sadness,2022-06-03 11:56:12.928011,Complete,female,20s,6,recorded_audio_hZrSXbD.wav,3
47,"Combined Syrian, Iraqi and Jordanian counterattacks prevented any further Israeli gains.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {Syrian}, {Iraqi} and {Jordanian}.",neutral,2022-05-20 11:14:28.027119,Complete,female,20s,0,recorded_audio_7uatzGV.wav,3
452,Located in Quincy are a few small businesses.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {Quincy}, {are} and {few}.",sarcastic,2022-07-16 16:28:13.179351,Complete,female,20s,3,recorded_audio_sjK1D8m.wav,3
681,"Despite these changes, the album nevertheless received rave reviews upon its release.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {the album} and {rave reviews}.,happiness,2022-07-27 12:55:41.334624,Complete,female,20s,6,recorded_audio_v8Cauqs.wav,3
210,These rare levels strike a better balance between puzzles and action.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {puzzles}.,happiness,2022-06-19 14:13:07.548790,Complete,female,20s,3,recorded_audio_5CnYd5h.wav,3
80,The airport is the second largest cargo terminal in Brazil.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {airport} and {terminal in Brazil}.",anger,2022-06-03 11:35:47.353802,Complete,female,20s,8,recorded_audio_Z51909t.wav,3
315,Online gaming can become addictive to many gamers.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {gaming} and {many}.",neutral,2022-07-11 11:59:55.461785,Complete,female,20s,0,recorded_audio_KtD7sAV.wav,3
1039,"In the Marvel Universe, he is the head of the Deviant race's priesthood.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {Marvel Universe}, {the head}, {Deviant} and {priesthood}.",sarcastic,2022-08-04 12:54:04.874192,Complete,female,20s,1,recorded_audio_TW2Gc6r.wav,3
804,The textile industry in Huaibei is ranked second in Anhui.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {ranked second}.,sadness,2022-07-28 14:04:21.535418,Complete,female,20s,6,recorded_audio_ePuBOHp.wav,3
1042,This Murid is promoted faster than others.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {This Murid} and {faster}.,happiness,2022-08-04 12:56:51.292460,Complete,female,20s,2,recorded_audio_K67pyN1.wav,3
445,"The Pangali are mainly concentrated in and around Imphal, the capital of Manipur.",{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {Pangali} and {in and around Imphal}.,anger,2022-07-18 14:36:09.047227,Complete,female,20s,7,recorded_audio_F73gPfX.wav,3
327,The child was immediately given to Lawayss' family.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {child} and {Lawayss' family}.",disgust,2022-07-11 12:15:49.151921,Complete,female,20s,1,recorded_audio_EWn4z82.wav,3
1044,George F. Loewenstein explored visceral factors related to addictions like smoking.,"{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {George F. Loewenstein}, {visceral} and {addictions}.",happiness,2022-08-04 12:59:57.089888,Complete,female,20s,8,recorded_audio_a11i3gz.wav,3
517,It was based on a hatchet housed in a tool pouch.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {hatchet} and {tool pouch}.,sarcastic,2022-07-19 14:57:42.335570,Complete,female,20s,1,recorded_audio_2nfFyRI.wav,3
139,What were you talking drivel about?,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {drivel about}.,anger,2022-06-03 13:51:44.434534,Complete,female,20s,7,recorded_audio_aR3Tczf.wav,3
85,Starfighters are equipped with different weaponry which can be highly effective in certain missions.,"{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {different}, {highly effective} and {in certain}.",surprise,2022-06-03 11:50:53.452719,Complete,female,20s,5,recorded_audio_2U3vgyn.wav,3
916,Here she studied jazz with Marcus Belgrave.,"Placing emphasis on {studied jazz}, {user_id} said {transcription}, in an {emotion} voice.",happiness,2022-07-29 14:13:05.761270,Complete,female,20s,1,recorded_audio_8jlleSY.wav,3
1144,A brown and white dog chews on a tire.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {brown and} and {tire}.,disgust,2022-08-19 09:55:14.903873,Complete,female,20s,3,recorded_audio_gfI8NsN.wav,3
271,"The vision for the new suburb included a technical institute, church and schools.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {new} and {church and schools}.",sadness,2022-07-27 10:35:41.424268,Complete,female,20s,6,recorded_audio_u6wYnL4.wav,3
250,The house is a typical three-bedroom family home.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {typical}.,sadness,2022-06-19 15:13:53.226462,Complete,female,20s,6,recorded_audio_DTKHnUN.wav,3
270,"The song was featured in the film ""Bitter Moon"", directed by Roman Polanski.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {featured} and {film ""Bitter Moon""}.",sarcastic,2022-06-21 11:10:03.270265,Complete,female,20s,1,recorded_audio_oYSsuh8.wav,3
1049,"Though Denmark soon gained the upper hand, it was unable to defeat Sweden entirely.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {unable} and {Sweden}.",happiness,2022-08-04 13:08:02.246601,Complete,female,20s,1,recorded_audio_w1qwCzb.wav,3
1198,It is a part of the Chicago Public Schools district.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {Chicago Public Schools}.",surprise,2022-08-19 11:20:17.301846,Complete,female,20s,5,recorded_audio_ELX7XBF.wav,3
485,"Accept a father's blessing, and with it, this.","Placing emphasis on {father's blessing} and {this}, {user_id} said {transcription}.",anger,2022-07-18 15:03:01.916726,Complete,female,20s,8,recorded_audio_jLNnOEi.wav,3
921,The party's president is Mirnes Ajanovic.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {party's} and {Mirnes Ajanovic}.,happiness,2022-07-29 14:17:37.883761,Complete,female,20s,0,recorded_audio_t7bDMzY.wav,3
